trial_id,title,condition,intervention,phase,status,start_date,estimated_completion,sponsor,enrollment_target,primary_endpoint,location,inclusion_criteria,exclusion_criteria
NCT67166499,A Phase I Study of Medical device in Breast Cancer,Breast Cancer,Novel pharmaceutical compound,IV,"Active, not recruiting",2025-08-19,2026-07-01,Pfizer,2512,Safety and efficacy of intervention in Breast Cancer,Global,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT76069246,A Phase III Study of Immunotherapy in Prostate Cancer,Prostate Cancer,Novel pharmaceutical compound,I,"Active, not recruiting",2023-04-27,2025-03-09,GSK,803,Safety and efficacy of intervention in Prostate Cancer,Global,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT50102873,A Phase I Study of Behavioral intervention in Bipolar Disorder,Bipolar Disorder,Medical device,II,Recruiting,2024-06-22,2027-02-04,Academic Medical Center,3505,Safety and efficacy of intervention in Bipolar Disorder,Global,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT37059261,A Phase III Study of Combination therapy in Alzheimer's Disease,Alzheimer's Disease,Medical device,I,Not yet recruiting,2018-10-04,2019-09-30,NIH,4009,Safety and efficacy of intervention in Alzheimer's Disease,United States,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT96215245,A Phase I Study of Stem cell therapy in Rheumatoid Arthritis,Rheumatoid Arthritis,Behavioral intervention,I,"Active, not recruiting",2021-07-02,2024-09-10,Merck,828,Safety and efficacy of intervention in Rheumatoid Arthritis,Global,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT81432879,A Phase II Study of Surgical procedure in Rheumatoid Arthritis,Rheumatoid Arthritis,Medical device,II,Completed,2021-09-02,2023-12-30,NIH,3845,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT20453537,A Phase I Study of Surgical procedure in Osteoarthritis,Osteoarthritis,Stem cell therapy,II,Terminated,2021-04-12,2024-02-29,Pfizer,3154,Safety and efficacy of intervention in Osteoarthritis,Global,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT32804152,A Phase II Study of Novel pharmaceutical compound in Asthma,Asthma,Vaccine,I,Completed,2024-02-17,2027-04-01,NIH,2573,Safety and efficacy of intervention in Asthma,Asia-Pacific,Adults aged 18-75 with confirmed Asthma,"Pregnancy, severe comorbidities, previous treatment failure"
NCT10430367,A Phase II Study of Novel pharmaceutical compound in Breast Cancer,Breast Cancer,Novel pharmaceutical compound,IV,Suspended,2022-11-20,2025-04-15,NIH,2163,Safety and efficacy of intervention in Breast Cancer,Global,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT91900633,A Phase I Study of Surgical procedure in HIV/AIDS,HIV/AIDS,Combination therapy,IV,Recruiting,2024-04-21,2028-07-29,Roche,452,Safety and efficacy of intervention in HIV/AIDS,United States,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT60682649,A Phase II Study of Immunotherapy in Hypertension,Hypertension,Medical device,II,Recruiting,2020-03-03,2024-03-28,Roche,4085,Safety and efficacy of intervention in Hypertension,Europe,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT53483379,A Phase I Study of Stem cell therapy in Sleep Apnea,Sleep Apnea,Gene therapy,II,Suspended,2020-11-30,2024-11-04,GSK,387,Safety and efficacy of intervention in Sleep Apnea,Global,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT72320907,A Phase II Study of Behavioral intervention in Rheumatoid Arthritis,Rheumatoid Arthritis,Gene therapy,III,Recruiting,2025-02-28,2027-02-11,Novartis,3446,Safety and efficacy of intervention in Rheumatoid Arthritis,Global,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT17035937,A Phase III Study of Gene therapy in Breast Cancer,Breast Cancer,Vaccine,IV,Recruiting,2019-02-01,2020-09-24,Johnson & Johnson,3044,Safety and efficacy of intervention in Breast Cancer,United States,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT88840252,A Phase IV Study of Stem cell therapy in Heart Failure,Heart Failure,Immunotherapy,IV,Not yet recruiting,2021-10-23,2025-09-30,GSK,527,Safety and efficacy of intervention in Heart Failure,United States,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT71524281,A Phase II Study of Medical device in Osteoarthritis,Osteoarthritis,Stem cell therapy,I,Suspended,2019-05-27,2023-05-20,Merck,754,Safety and efficacy of intervention in Osteoarthritis,Global,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT61908944,A Phase III Study of Combination therapy in Lupus,Lupus,Combination therapy,I,Suspended,2022-12-25,2024-02-12,Roche,3577,Safety and efficacy of intervention in Lupus,Global,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16627938,A Phase II Study of Behavioral intervention in Bipolar Disorder,Bipolar Disorder,Stem cell therapy,II,Completed,2022-03-21,2026-09-24,NIH,365,Safety and efficacy of intervention in Bipolar Disorder,Asia-Pacific,Adults aged 18-75 with confirmed Bipolar Disorder,"Pregnancy, severe comorbidities, previous treatment failure"
NCT96695026,A Phase II Study of Immunotherapy in Diabetes Type 2,Diabetes Type 2,Gene therapy,III,Recruiting,2019-08-24,2024-05-10,Merck,3808,Safety and efficacy of intervention in Diabetes Type 2,Europe,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT86923540,A Phase III Study of Behavioral intervention in COPD,COPD,Surgical procedure,II,Recruiting,2019-01-03,2021-04-15,Merck,542,Safety and efficacy of intervention in COPD,Asia-Pacific,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT33614436,A Phase III Study of Vaccine in Breast Cancer,Breast Cancer,Medical device,IV,"Active, not recruiting",2020-03-31,2022-07-18,GSK,3020,Safety and efficacy of intervention in Breast Cancer,Global,Adults aged 18-75 with confirmed Breast Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT78865456,A Phase III Study of Dietary supplement in Diabetes Type 1,Diabetes Type 1,Gene therapy,II,Completed,2023-11-17,2027-04-04,Academic Medical Center,3361,Safety and efficacy of intervention in Diabetes Type 1,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT38209309,A Phase I Study of Novel pharmaceutical compound in Colorectal Cancer,Colorectal Cancer,Combination therapy,II,Recruiting,2020-08-10,2021-06-05,Pfizer,2030,Safety and efficacy of intervention in Colorectal Cancer,Europe,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT57840211,A Phase II Study of Stem cell therapy in Lupus,Lupus,Immunotherapy,I,"Active, not recruiting",2019-12-01,2023-03-04,Johnson & Johnson,4208,Safety and efficacy of intervention in Lupus,Europe,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT54499410,A Phase IV Study of Stem cell therapy in Sleep Apnea,Sleep Apnea,Vaccine,II,Terminated,2021-12-07,2024-01-16,GSK,4282,Safety and efficacy of intervention in Sleep Apnea,Europe,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT30225407,A Phase III Study of Stem cell therapy in COPD,COPD,Gene therapy,I,Terminated,2024-04-10,2026-10-18,Roche,2818,Safety and efficacy of intervention in COPD,Europe,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT18598745,A Phase III Study of Combination therapy in Chronic Kidney Disease,Chronic Kidney Disease,Medical device,II,Suspended,2021-11-21,2023-05-09,Johnson & Johnson,3131,Safety and efficacy of intervention in Chronic Kidney Disease,Asia-Pacific,Adults aged 18-75 with confirmed Chronic Kidney Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT87042194,A Phase II Study of Stem cell therapy in Alzheimer's Disease,Alzheimer's Disease,Medical device,I,"Active, not recruiting",2020-11-06,2024-04-29,Academic Medical Center,2648,Safety and efficacy of intervention in Alzheimer's Disease,Asia-Pacific,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16230975,A Phase I Study of Novel pharmaceutical compound in Diabetes Type 1,Diabetes Type 1,Gene therapy,I,Recruiting,2025-07-04,2029-01-21,Novartis,860,Safety and efficacy of intervention in Diabetes Type 1,Europe,Adults aged 18-75 with confirmed Diabetes Type 1,"Pregnancy, severe comorbidities, previous treatment failure"
NCT58773151,A Phase I Study of Immunotherapy in Heart Failure,Heart Failure,Combination therapy,IV,Terminated,2019-03-04,2021-07-23,Roche,1137,Safety and efficacy of intervention in Heart Failure,Europe,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT44811177,A Phase I Study of Stem cell therapy in Diabetes Type 2,Diabetes Type 2,Immunotherapy,II,Completed,2019-06-21,2021-12-14,Roche,1110,Safety and efficacy of intervention in Diabetes Type 2,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT49590509,A Phase III Study of Behavioral intervention in Hepatitis C,Hepatitis C,Gene therapy,IV,Not yet recruiting,2024-04-08,2025-05-26,Merck,317,Safety and efficacy of intervention in Hepatitis C,Global,Adults aged 18-75 with confirmed Hepatitis C,"Pregnancy, severe comorbidities, previous treatment failure"
NCT62716066,A Phase IV Study of Surgical procedure in Prostate Cancer,Prostate Cancer,Medical device,IV,Terminated,2024-04-20,2028-04-04,NIH,662,Safety and efficacy of intervention in Prostate Cancer,United States,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT91269223,A Phase I Study of Gene therapy in Lupus,Lupus,Immunotherapy,IV,Terminated,2021-09-28,2026-07-03,Johnson & Johnson,1545,Safety and efficacy of intervention in Lupus,Europe,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT55324418,A Phase III Study of Stem cell therapy in Hypertension,Hypertension,Dietary supplement,I,Recruiting,2021-04-16,2022-11-06,Roche,3189,Safety and efficacy of intervention in Hypertension,Europe,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT69650609,A Phase I Study of Vaccine in Multiple Sclerosis,Multiple Sclerosis,Medical device,II,Recruiting,2025-04-22,2027-09-17,Roche,4510,Safety and efficacy of intervention in Multiple Sclerosis,United States,Adults aged 18-75 with confirmed Multiple Sclerosis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT55438931,A Phase II Study of Medical device in Colorectal Cancer,Colorectal Cancer,Surgical procedure,IV,Completed,2022-05-30,2024-10-23,Novartis,3140,Safety and efficacy of intervention in Colorectal Cancer,United States,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT67646926,A Phase III Study of Novel pharmaceutical compound in Hypertension,Hypertension,Vaccine,II,Not yet recruiting,2023-04-15,2025-08-17,GSK,4188,Safety and efficacy of intervention in Hypertension,United States,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT74653058,A Phase IV Study of Medical device in Osteoarthritis,Osteoarthritis,Vaccine,IV,Terminated,2021-07-07,2022-01-28,Roche,4317,Safety and efficacy of intervention in Osteoarthritis,United States,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT86256281,A Phase III Study of Surgical procedure in Rheumatoid Arthritis,Rheumatoid Arthritis,Medical device,III,Completed,2024-04-25,2028-04-29,Pfizer,1439,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT98871025,A Phase I Study of Novel pharmaceutical compound in Psoriasis,Psoriasis,Immunotherapy,III,Not yet recruiting,2024-10-06,2028-08-11,Merck,2779,Safety and efficacy of intervention in Psoriasis,United States,Adults aged 18-75 with confirmed Psoriasis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT63211049,A Phase II Study of Medical device in ADHD,ADHD,Gene therapy,III,Recruiting,2022-01-13,2025-06-10,Roche,1378,Safety and efficacy of intervention in ADHD,Asia-Pacific,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT89609762,A Phase IV Study of Dietary supplement in Parkinson's Disease,Parkinson's Disease,Dietary supplement,IV,Terminated,2024-03-27,2027-07-23,Merck,4438,Safety and efficacy of intervention in Parkinson's Disease,Global,Adults aged 18-75 with confirmed Parkinson's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT61701894,A Phase II Study of Combination therapy in Heart Failure,Heart Failure,Novel pharmaceutical compound,IV,"Active, not recruiting",2024-12-01,2025-11-28,Pfizer,2516,Safety and efficacy of intervention in Heart Failure,Global,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT92361291,A Phase IV Study of Behavioral intervention in Sleep Apnea,Sleep Apnea,Stem cell therapy,II,Not yet recruiting,2020-07-10,2022-03-05,NIH,2804,Safety and efficacy of intervention in Sleep Apnea,Global,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT98988209,A Phase I Study of Gene therapy in Schizophrenia,Schizophrenia,Novel pharmaceutical compound,II,Completed,2020-02-23,2021-01-03,Merck,4716,Safety and efficacy of intervention in Schizophrenia,Asia-Pacific,Adults aged 18-75 with confirmed Schizophrenia,"Pregnancy, severe comorbidities, previous treatment failure"
NCT83255051,A Phase III Study of Surgical procedure in Parkinson's Disease,Parkinson's Disease,Dietary supplement,IV,Terminated,2019-06-14,2023-06-22,Roche,2737,Safety and efficacy of intervention in Parkinson's Disease,Global,Adults aged 18-75 with confirmed Parkinson's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT35278638,A Phase I Study of Stem cell therapy in Heart Failure,Heart Failure,Vaccine,III,"Active, not recruiting",2022-10-31,2024-03-23,Novartis,850,Safety and efficacy of intervention in Heart Failure,Europe,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT16089971,A Phase IV Study of Immunotherapy in Colorectal Cancer,Colorectal Cancer,Novel pharmaceutical compound,I,Terminated,2019-07-21,2022-06-22,NIH,2252,Safety and efficacy of intervention in Colorectal Cancer,United States,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT93057486,A Phase I Study of Behavioral intervention in Lupus,Lupus,Combination therapy,III,Suspended,2019-04-05,2023-10-16,Pfizer,2410,Safety and efficacy of intervention in Lupus,United States,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT56796047,A Phase I Study of Combination therapy in Colorectal Cancer,Colorectal Cancer,Gene therapy,III,Completed,2025-01-11,2028-08-26,Johnson & Johnson,1343,Safety and efficacy of intervention in Colorectal Cancer,Asia-Pacific,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT19685576,A Phase II Study of Immunotherapy in Coronary Artery Disease,Coronary Artery Disease,Dietary supplement,III,Completed,2021-01-18,2022-12-20,Novartis,2643,Safety and efficacy of intervention in Coronary Artery Disease,Global,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT87160597,A Phase II Study of Stem cell therapy in HIV/AIDS,HIV/AIDS,Behavioral intervention,II,Terminated,2023-03-30,2027-08-28,GSK,127,Safety and efficacy of intervention in HIV/AIDS,Global,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT82057265,A Phase I Study of Medical device in Diabetes Type 2,Diabetes Type 2,Stem cell therapy,III,Recruiting,2022-11-09,2023-06-30,Merck,1963,Safety and efficacy of intervention in Diabetes Type 2,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT93985709,A Phase II Study of Medical device in Asthma,Asthma,Dietary supplement,II,Not yet recruiting,2021-11-30,2026-08-15,Pfizer,4509,Safety and efficacy of intervention in Asthma,United States,Adults aged 18-75 with confirmed Asthma,"Pregnancy, severe comorbidities, previous treatment failure"
NCT61562837,A Phase IV Study of Combination therapy in Hypertension,Hypertension,Stem cell therapy,II,Terminated,2023-12-28,2026-03-15,NIH,4979,Safety and efficacy of intervention in Hypertension,Asia-Pacific,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT91601759,A Phase IV Study of Vaccine in Alzheimer's Disease,Alzheimer's Disease,Novel pharmaceutical compound,IV,Suspended,2023-11-21,2024-06-04,Roche,2952,Safety and efficacy of intervention in Alzheimer's Disease,United States,Adults aged 18-75 with confirmed Alzheimer's Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT20389668,A Phase I Study of Medical device in Sleep Apnea,Sleep Apnea,Behavioral intervention,II,Recruiting,2022-02-17,2026-02-11,Pfizer,3623,Safety and efficacy of intervention in Sleep Apnea,United States,Adults aged 18-75 with confirmed Sleep Apnea,"Pregnancy, severe comorbidities, previous treatment failure"
NCT42110785,A Phase IV Study of Vaccine in Diabetes Type 2,Diabetes Type 2,Medical device,I,Terminated,2021-10-09,2023-05-29,GSK,441,Safety and efficacy of intervention in Diabetes Type 2,Global,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT74236302,A Phase III Study of Surgical procedure in Lupus,Lupus,Medical device,II,"Active, not recruiting",2023-01-21,2026-03-03,Roche,3847,Safety and efficacy of intervention in Lupus,United States,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT25416560,A Phase III Study of Gene therapy in ADHD,ADHD,Gene therapy,II,Not yet recruiting,2024-02-24,2024-11-02,NIH,1655,Safety and efficacy of intervention in ADHD,Europe,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT65796147,A Phase III Study of Medical device in Prostate Cancer,Prostate Cancer,Stem cell therapy,I,Recruiting,2021-05-29,2025-02-15,Roche,593,Safety and efficacy of intervention in Prostate Cancer,United States,Adults aged 18-75 with confirmed Prostate Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT65641791,A Phase II Study of Vaccine in Colorectal Cancer,Colorectal Cancer,Stem cell therapy,III,Recruiting,2024-09-03,2028-07-02,Novartis,3397,Safety and efficacy of intervention in Colorectal Cancer,Asia-Pacific,Adults aged 18-75 with confirmed Colorectal Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT50618728,A Phase II Study of Novel pharmaceutical compound in Heart Failure,Heart Failure,Vaccine,I,Recruiting,2024-09-22,2027-04-13,Johnson & Johnson,4676,Safety and efficacy of intervention in Heart Failure,United States,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT61134436,A Phase III Study of Gene therapy in Coronary Artery Disease,Coronary Artery Disease,Dietary supplement,IV,Completed,2024-11-05,2027-05-02,Pfizer,1717,Safety and efficacy of intervention in Coronary Artery Disease,Asia-Pacific,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT36273207,A Phase III Study of Combination therapy in Lung Cancer,Lung Cancer,Stem cell therapy,III,Recruiting,2021-01-01,2025-06-14,Novartis,4239,Safety and efficacy of intervention in Lung Cancer,Europe,Adults aged 18-75 with confirmed Lung Cancer,"Pregnancy, severe comorbidities, previous treatment failure"
NCT39036170,A Phase III Study of Surgical procedure in Heart Failure,Heart Failure,Behavioral intervention,II,Suspended,2024-02-20,2026-06-14,Academic Medical Center,4674,Safety and efficacy of intervention in Heart Failure,Europe,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT64536660,A Phase III Study of Medical device in HIV/AIDS,HIV/AIDS,Medical device,III,Terminated,2022-10-31,2026-08-31,Roche,1832,Safety and efficacy of intervention in HIV/AIDS,Global,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT91527086,A Phase IV Study of Novel pharmaceutical compound in Hypertension,Hypertension,Dietary supplement,III,Not yet recruiting,2024-05-12,2028-08-09,GSK,2382,Safety and efficacy of intervention in Hypertension,United States,Adults aged 18-75 with confirmed Hypertension,"Pregnancy, severe comorbidities, previous treatment failure"
NCT95988079,A Phase I Study of Behavioral intervention in Diabetes Type 2,Diabetes Type 2,Stem cell therapy,I,Recruiting,2023-07-02,2027-11-15,Johnson & Johnson,2160,Safety and efficacy of intervention in Diabetes Type 2,Asia-Pacific,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT70739673,A Phase III Study of Novel pharmaceutical compound in Asthma,Asthma,Combination therapy,IV,Recruiting,2023-05-29,2023-12-12,Novartis,4095,Safety and efficacy of intervention in Asthma,United States,Adults aged 18-75 with confirmed Asthma,"Pregnancy, severe comorbidities, previous treatment failure"
NCT25438654,A Phase III Study of Combination therapy in Heart Failure,Heart Failure,Novel pharmaceutical compound,III,Recruiting,2022-09-05,2026-05-16,GSK,4977,Safety and efficacy of intervention in Heart Failure,Asia-Pacific,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT32432040,A Phase IV Study of Immunotherapy in Heart Failure,Heart Failure,Combination therapy,II,Completed,2021-01-23,2023-03-23,Johnson & Johnson,2586,Safety and efficacy of intervention in Heart Failure,Global,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT66127020,A Phase IV Study of Vaccine in Heart Failure,Heart Failure,Dietary supplement,IV,Suspended,2021-05-09,2024-07-28,Johnson & Johnson,3213,Safety and efficacy of intervention in Heart Failure,Asia-Pacific,Adults aged 18-75 with confirmed Heart Failure,"Pregnancy, severe comorbidities, previous treatment failure"
NCT89974753,A Phase IV Study of Gene therapy in Lupus,Lupus,Novel pharmaceutical compound,I,Suspended,2023-08-13,2026-04-10,Roche,1708,Safety and efficacy of intervention in Lupus,Europe,Adults aged 18-75 with confirmed Lupus,"Pregnancy, severe comorbidities, previous treatment failure"
NCT85288425,A Phase II Study of Combination therapy in Diabetes Type 2,Diabetes Type 2,Medical device,I,Recruiting,2020-03-23,2024-03-01,GSK,3984,Safety and efficacy of intervention in Diabetes Type 2,United States,Adults aged 18-75 with confirmed Diabetes Type 2,"Pregnancy, severe comorbidities, previous treatment failure"
NCT19463832,A Phase III Study of Vaccine in Osteoarthritis,Osteoarthritis,Stem cell therapy,I,Terminated,2019-05-06,2021-12-29,Merck,999,Safety and efficacy of intervention in Osteoarthritis,Global,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT66702920,A Phase I Study of Dietary supplement in Hepatitis C,Hepatitis C,Novel pharmaceutical compound,II,Terminated,2020-07-18,2023-01-10,Johnson & Johnson,4797,Safety and efficacy of intervention in Hepatitis C,Global,Adults aged 18-75 with confirmed Hepatitis C,"Pregnancy, severe comorbidities, previous treatment failure"
NCT13925750,A Phase IV Study of Surgical procedure in HIV/AIDS,HIV/AIDS,Immunotherapy,II,Terminated,2024-01-06,2026-09-27,Academic Medical Center,4659,Safety and efficacy of intervention in HIV/AIDS,Global,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT51184586,A Phase I Study of Novel pharmaceutical compound in HIV/AIDS,HIV/AIDS,Vaccine,IV,Completed,2021-03-03,2022-01-23,Pfizer,3039,Safety and efficacy of intervention in HIV/AIDS,Europe,Adults aged 18-75 with confirmed HIV/AIDS,"Pregnancy, severe comorbidities, previous treatment failure"
NCT55278000,A Phase IV Study of Surgical procedure in Osteoarthritis,Osteoarthritis,Vaccine,I,Terminated,2023-07-27,2024-12-11,Merck,374,Safety and efficacy of intervention in Osteoarthritis,Asia-Pacific,Adults aged 18-75 with confirmed Osteoarthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT17361373,A Phase II Study of Stem cell therapy in Rheumatoid Arthritis,Rheumatoid Arthritis,Medical device,I,Not yet recruiting,2025-07-13,2027-02-04,Novartis,423,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT97238171,A Phase II Study of Gene therapy in ADHD,ADHD,Surgical procedure,III,Suspended,2023-04-26,2023-12-12,Merck,817,Safety and efficacy of intervention in ADHD,Europe,Adults aged 18-75 with confirmed ADHD,"Pregnancy, severe comorbidities, previous treatment failure"
NCT72370609,A Phase II Study of Immunotherapy in Rheumatoid Arthritis,Rheumatoid Arthritis,Gene therapy,I,Recruiting,2023-12-21,2024-08-29,Roche,3064,Safety and efficacy of intervention in Rheumatoid Arthritis,Europe,Adults aged 18-75 with confirmed Rheumatoid Arthritis,"Pregnancy, severe comorbidities, previous treatment failure"
NCT82604124,A Phase III Study of Combination therapy in Coronary Artery Disease,Coronary Artery Disease,Combination therapy,I,Recruiting,2023-03-09,2026-11-28,Academic Medical Center,3866,Safety and efficacy of intervention in Coronary Artery Disease,Europe,Adults aged 18-75 with confirmed Coronary Artery Disease,"Pregnancy, severe comorbidities, previous treatment failure"
NCT31117014,A Phase IV Study of Surgical procedure in COPD,COPD,Medical device,IV,Completed,2020-07-26,2024-06-07,Novartis,2034,Safety and efficacy of intervention in COPD,Asia-Pacific,Adults aged 18-75 with confirmed COPD,"Pregnancy, severe comorbidities, previous treatment failure"
